C10orf55	TNS1-AS1	AL117329.1	AC010789.1	LINC02672	LINC01537	LINC01940	AL023755.1	AC107419.1	AC011287.1	LINC01436	AC005064.1	CNTFR-AS1	UNC5B-AS1	HOXA11-AS	AC112206.2	LINC01234	PURPL	AC010343.3	LINC01605	AC091182.2	LINC02055	AP003555.1	LINC02688	AP000880.1	TBX5-AS1	RHOXF1-AS1	LINC00930	LINC01269	LINC02820	LINC01711	AC087623.2	AC010913.1	AC009159.3	FP236383.3	AC018865.2	AC092979.2	AL732437.2	condition
17	19	4	33	2	7	5	31	210	24	110	0	1	18	7	11	17	465	24	166	32	32	8	56	4	1	78	26	22	6	71	17	3	42	2	1	4	1	1
22	14	0	16	3	8	3	35	1	3	76	7	1	37	6	6	184	11	2	35	8	4	87	59	9	1	70	57	54	0	55	31	10	29	0	6	0	3	1
25	12	1	0	153	7	3	3	1	1	2	1	0	72	41	3	19	2	3	17	1	99	23	306	1	5	58	29	24	1	43	18	10	36	1	5	0	1	1
15	9	1	52	11	7	1	1	1	2	230	1	3	24	34	7	157	136	12	57	7	1	38	35	4	1	82	7	36	14	44	14	5	46	0	1	0	5	1
29	17	0	0	17	10	35	5	1	3	25	1	0	63	66	1	8	1	1	25	6	8	80	240	3	7	24	81	18	0	84	17	7	16	0	1	0	5	1
41	40	4	0	15	2	39	115	9	26	17	0	1	50	4	7	132	236	150	194	30	37	35	32	4	0	45	18	41	3	33	14	7	21	1	16	9	0	1
5	33	16	19	5	22	6	7	2	14	60	5	27	4	12	9	2	5	8	25	5	54	26	30	2	3	77	3	5	0	16	36	3	16	0	0	7	3	1
42	61	11	11	0	5	4	150	8	473	7	7	2	25	10	23	127	38	136	47	9	22	23	120	2	1	128	52	13	110	65	20	7	40	0	32	18	8	1
65	34	30	1	0	13	2	357	7	103	155	0	0	29	5	192	6	8	20	238	64	24	43	17	8	14	120	8	58	12	55	38	10	27	0	91	13	17	1
17	60	5	4	0	21	3	15	8	13	5	24	23	59	1	31	2	142	13	21	1	18	35	125	6	0	50	55	23	0	26	41	12	26	0	2	13	1	1
58	13	2	63	41	6	14	15	2	69	534	6	0	52	43	24	6	11	5	126	17	7	115	29	5	21	375	31	170	0	109	28	8	37	0	33	1	18	1
24	21	2	13	8	2	14	78	2	248	103	2	2	33	7	3	0	4	5	16	10	17	43	73	4	1	133	52	30	2	42	10	2	16	1	0	107	0	1
12	13	0	0	3	1	0	2	1	1	13	10	0	39	9	1	4	2	0	11	3	3	9	285	1	0	8	3	11	0	19	20	8	4	0	0	0	1	1
23	6	0	1	0	24	10	1	0	4	141	3	1	31	2	2	5	0	0	10	5	3	16	492	7	1	14	5	3	1	31	18	6	21	0	2	0	4	0
39	5	0	0	5	9	139	1	0	3	33	0	0	47	5	2	1	1	68	319	76	2	45	7	9	72	8	0	8	0	235	14	1	25	0	0	0	2	0
46	27	4	46	9	2	2	248	5	406	50	0	0	16	4	34	247	23	25	79	14	4	36	44	2	6	36	4	16	1	34	19	10	29	1	132	25	7	0
27	24	109	3	0	79	102	161	4	124	4	0	0	12	0	11	5	7	427	12	2	18	981	6	1	0	16	6	103	0	25	23	8	6	2	0	16	154	0
67	36	7	3	8	2	28	32	8	23	64	1	1	56	4	11	0	14	32	110	12	10	24	29	6	7	53	42	34	1	82	56	17	62	0	50	24	3	0
32	36	6	1	0	3	1	11	12	11	59	6	2	25	3	14	2	33	12	20	7	16	18	25	6	4	55	56	8	1	60	28	6	29	0	5	6	0	0
11	19	0	0	2	14	1	1	0	0	16	0	0	8	0	2	75	0	4	5	0	6	19	202	5	1	7	30	7	0	23	21	9	17	0	3	0	0	0
41	2	2	0	0	5	1	0	2	13	1	0	0	283	3	7	3	0	1	66	4	3	9	53	4	1	10	1	231	0	37	10	14	10	0	0	0	9	0
11	65	2	2	2	7	3	13	8	58	8	17	4	20	1	20	58	39	8	25	6	9	24	91	5	2	68	65	12	0	28	31	5	42	0	29	12	1	0
38	10	1	0	1	4	9	4	0	0	6	3	0	48	9	8	3	174	4	32	3	0	28	111	4	9	25	8	75	0	98	22	10	24	0	0	0	1	0
10	69	0	1	0	6	3	22	13	48	7	5	4	24	1	21	9	37	10	28	3	20	14	69	4	3	75	96	8	3	32	24	11	20	1	11	2	2	0
71	10	2	0	1	21	116	1	1	3	109	0	1	291	9	1	2	4	4	42	10	5	114	27	13	2	25	7	25	0	58	23	26	32	0	0	0	87	0
